 LUCES , NDVI , ZURBANA , AREA , TEMPERATURA , DENSIDAD 
62,0.16,0.39,0.36,33.32,16364
62.5,0.12,0.75,0.66,32.11,18178
62,0.18,0.59,0.31,31.89,22353
62,0.19,0.53,0.35,31.23,16328
62,0.19,0.53,0.3,31.23,25928
62,0.19,0.53,1.03,31.23,10974
63,0.19,0.56,0.25,30.37,20849
62,0.16,0.39,0.2,33.32,19732
62,0.16,0.39,0.53,33.32,7097
62,0.16,0.39,0.38,33.32,18785
63,0.08,0.63,0.56,32.34,14343
63,0.08,0.63,0.25,32.34,18508
63,0.11,0.76,0.28,32.18,11778
62,0.08,0.63,0.27,32.34,21098
62,0.18,0.59,0.36,31.89,11670
62,0.18,0.59,0.46,31.89,7721
63,0.12,0.75,0.12,32.11,26088
63,0.12,0.75,0.05,32.11,24250
61,0.19,0.56,0.43,30.37,16383
63,0.15,0.81,0.65,30.13,7724
62,0.18,0.59,0.25,31.89,9579
62,0.19,0.53,0.37,31.23,18449
62,0.19,0.53,1.25,31.23,4010
62,0.18,0.59,0.29,31.89,5999
63,0.08,0.63,0.56,32.34,20597
63,0.08,0.63,0.61,32.34,13935
62,0.08,0.63,0.24,32.34,26836
62,0.08,0.63,0.29,32.34,23171
63,0.11,0.76,0.42,32.18,11565
62,0.1,0.73,0.14,33.14,14331
63,0.11,0.76,0.23,32.18,17249
63,0.11,0.76,0.21,32.18,22352
62,0.1,0.73,0.3,33.14,9506
62,0.12,0.51,0.27,32.51,21618
62,0.12,0.51,0.2,32.51,26622
63,0.38,0.2,0.3,26.71,15365
63,0.15,0.81,0.21,30.13,16937
63,0.15,0.81,0.29,30.13,16129
62,0.12,0.75,0.27,32.11,16948
60,0.12,0.75,0.26,32.11,15203
62.67,0.15,0.81,0.32,30.13,12244
63,0.08,0.75,0.2,31.64,12612
63,0.19,0.56,0.2,30.37,19162
63,0.19,0.56,0.13,30.37,26083
63,0.19,0.56,0.14,30.37,22249
63,0.19,0.56,0.32,30.37,13578
62,0.14,0.56,0.21,32.29,27519
62,0.16,0.39,0.86,33.32,4720
62,0.16,0.39,0.32,33.32,20512
62,0.12,0.75,0.59,32.11,8647
62.33,0.12,0.75,0.65,32.11,7121
62,0.18,0.59,0.18,31.89,20950
62,0.18,0.59,0.23,31.89,13609
62,0.19,0.53,0.19,31.23,19438
62,0.19,0.53,0.2,31.23,18718
62,0.19,0.53,0.17,31.23,28415
63,0.08,0.75,0.43,31.64,14323
63,0.19,0.56,0.33,30.37,3831
63,0.08,0.75,0.36,31.64,11703
62,0.18,0.59,0.42,31.89,3060
62,0.18,0.59,1.08,31.89,4553
62,0.16,0.64,1.4,31.97,3128
62,0.08,0.75,0.41,31.64,15409
62,0.08,0.75,0.37,31.64,19610
63,0.08,0.63,0.58,32.34,7360
62,0.08,0.63,0.71,32.34,7948
62,0.08,0.63,0.11,32.34,26345
63,0.08,0.75,1.04,31.64,4135
63,0.08,0.63,0.34,32.34,17519
63,0.08,0.75,0.23,31.64,18001
63,0.08,0.75,0.37,31.64,14219
63,0.19,0.56,0.31,30.37,20731
63,0.19,0.56,0.3,30.37,21342
63,0.19,0.56,0.4,30.37,18663
62,0.16,0.39,0.24,33.32,19469
62,0.16,0.39,0.25,33.32,18758
62.6,0.19,0.56,0.99,30.37,3077
63,0.2,0.62,0.58,32.29,6365
63,0.12,0.75,0.3,32.11,19126
63,0.12,0.75,0.15,32.11,24260
62,0.14,0.67,0.52,31.82,12199
62,0.16,0.62,0.52,32.41,8915
62,0.12,0.75,0.28,32.11,15491
62,0.19,0.53,1.13,31.23,6011
62,0.16,0.62,0.39,32.41,9215
62,0.12,0.75,0.23,32.11,16474
61,0.12,0.75,0.23,32.11,24023
62,0.1,0.73,0.18,33.14,19266
63,0.19,0.56,0.19,30.37,18297
63,0.19,0.56,0.49,30.37,4889
63,0.15,0.81,0.44,30.13,14544
63,0.2,0.59,0.61,31.3,5952
63,0.2,0.59,0.33,31.3,12337
62,0.16,0.39,0.21,33.32,23846
62,0.16,0.39,0.61,33.32,10464
63,0.2,0.59,0.37,31.3,9929
63,0.16,0.61,0.21,31.32,4831
63,0.2,0.59,0.3,31.3,10190
61,0.19,0.56,0.22,30.37,15990
63,0.2,0.62,0.5,32.29,7365
63,0.2,0.59,0.52,31.3,7549
63,0.2,0.62,0.38,32.29,6955
63,0.2,0.62,0.38,32.29,8143
63,0.2,0.59,0.42,31.3,9771
63,0.2,0.62,0.7,32.29,11939
63,0.2,0.59,0.4,31.3,6249
63,0.2,0.59,0.51,31.3,7852
63,0.2,0.62,0.27,32.29,2165
63,0.2,0.62,0.11,32.29,21658
63,0.2,0.59,0.63,31.3,9221
63,0.2,0.59,0.32,31.3,10367
63,0.2,0.59,0.61,31.3,6587
63,0.17,0.7,0.38,30.71,9259
63,0.15,0.81,0.54,30.13,7936
63,0.18,0.66,0.77,30.91,5734
63,0.2,0.59,0.41,31.3,13193
63,0.2,0.61,0.53,31.96,8037
63,0.2,0.62,0.3,32.29,5934
63,0.15,0.81,0.33,30.13,13209
63,0.12,0.75,0.31,32.11,10471
63,0.18,0.59,0.39,31.89,20474
63,0.12,0.75,0.26,32.11,22255
63,0.15,0.81,0.42,30.13,10322
63,0.12,0.75,0.22,32.11,19499
62,0.12,0.75,0.31,32.11,11853
62,0.12,0.75,0.17,32.11,10691
62,0.08,0.75,0.77,31.64,5250
63,0.11,0.76,0.21,32.18,17146
63,0.19,0.56,0.34,30.37,12838
63,0.11,0.76,0.5,32.18,10637
62,0.18,0.59,0.21,31.89,16047
62,0.18,0.59,0.29,31.89,11362
62,0.08,0.75,0.55,31.64,625
62,0.12,0.75,0.33,32.11,9160
62,0.12,0.75,0.38,32.11,16220
60,0.12,0.75,0.31,32.11,18262
60,0.12,0.75,0.36,32.11,14246
60,0.12,0.75,0.29,32.11,20378
62,0.13,0.69,1.6,32.31,1739
63,0.38,0.2,0.09,26.71,1727
55,0.21,0.42,0.7,30.42,2799
55,0.21,0.42,0.25,30.42,10823
55,0.21,0.42,0.8,30.42,6065
62,0.25,0.41,0.76,30.22,3925
55,0.23,0.47,1.78,30.45,2069
55,0.23,0.47,0.7,30.45,3632
55,0.21,0.42,0.98,30.42,2975
60,0.21,0.42,1.32,30.42,3165
58,0.24,0.15,1.66,31.52,2169
60,0.21,0.42,0.28,30.42,15107
48,0.25,0.15,0.57,31.31,7425
48,0.25,0.15,0.51,31.31,12275
48,0.25,0.15,0.48,31.31,11344
48,0.25,0.15,0.42,31.31,14416
60,0.25,0.15,1.14,31.31,1405
60,0.25,0.15,0.57,31.31,9250
60,0.25,0.22,0.7,31.15,4513
48,0.21,0.33,0.19,30.89,9043
48,0.26,0.38,0.09,29.69,10646
48,0.25,0.15,0.17,31.31,5665
48,0.21,0.33,1.1,30.89,3294
28,0.21,0.16,1.29,31.05,924
29.2,0.21,0.12,2.11,31.09,846
28,0.21,0.12,0.86,31.09,1176
37,0.21,0.35,2.94,32.45,1501
18,0.19,0.14,0.39,32.99,2417
27,0.19,0.14,0.61,32.99,1698
18,0.19,0.14,0.46,32.99,1239
34,0.22,0.19,2.38,30.89,1535
19,0.22,0.19,1.73,30.87,1890
34,0.21,0.19,0.43,30.43,1110
58,0.46,0.12,0.75,19.48,5125
58,0.4,0.18,0.75,21,5752
58,0.42,0.18,1.03,20.9,944
63,0.27,0.43,0.45,22.04,9639
63,0.27,0.43,2.34,22.04,6134
63,0.27,0.43,0.25,22.04,17837
62,0.39,0.43,0.52,21.26,4007
62,0.33,0.43,0.47,23.44,6143
58,0.48,0.12,1.21,19.68,2858
50,0.4,0.18,1.98,21,2205
61.71,0.27,0.43,1.47,22.04,6818
61,0.4,0.18,1.2,21,5896
63,0.29,0.58,0.49,26.57,18697
63,0.29,0.58,0.86,26.57,5518
63,0.29,0.58,0.82,26.57,2883
63,0.3,0.55,1.38,26.33,3494
63,0.3,0.53,0.96,26.19,2752
63,0.33,0.44,1.09,25.62,5561
63,0.33,0.44,0.33,25.62,16147
63,0.29,0.58,0.3,26.57,16362
63,0.29,0.58,0.42,26.57,18066
63,0.29,0.58,0.26,26.57,21830
63,0.29,0.58,0.43,26.57,8789
63,0.29,0.58,0.66,26.57,5316
63,0.29,0.58,0.57,26.57,4204
63,0.29,0.58,0.59,26.57,3064
63,0.29,0.58,1.02,26.57,4472
63,0.24,0.72,0.55,26.93,4849
63,0.27,0.43,0.31,22.04,21973
63,0.29,0.58,0.17,26.57,20036
63,0.27,0.43,0.31,22.04,4856
63,0.29,0.58,0.95,26.57,5681
63,0.29,0.58,0.6,26.57,6805
63,0.31,0.43,0.61,22.98,701
63,0.37,0.58,4.32,25.05,319
63,0.11,0.69,0.85,31.9,3548
63,0.17,0.6,0.37,31.26,14699
63,0.11,0.69,0.35,31.9,10459
63,0.17,0.6,0.79,31.26,9623
63,0.11,0.69,0.55,31.9,18050
63,0.17,0.6,0.37,31.26,13844
63,0.11,0.69,0.25,31.9,16085
63,0.11,0.69,0.3,31.9,23529
63,0.12,0.55,0.29,31.95,12552
63,0.28,0.23,1.54,28.82,57
63,0.25,0.27,2,29.8,454
63,0.28,0.23,0.14,28.82,11818
63,0.17,0.6,0.84,31.26,5169
63,0.25,0.6,1.97,31.46,2141
63,0.17,0.6,2.06,31.26,11102
63,0.17,0.6,0.11,31.26,13951
63,0.28,0.23,0.31,28.82,7116
63,0.17,0.6,1.14,31.26,82
63,0.12,0.55,0.48,31.95,4552
63,0.19,0.6,0.72,31.31,5371
63,0.25,0.6,0.57,31.46,10808
63,0.11,0.69,0.88,31.9,4498
63,0.11,0.69,0.69,31.9,8721
63,0.11,0.69,0.37,31.9,11463
63,0.17,0.6,0.58,31.26,8848
63,0.11,0.69,0.38,31.9,3769
63,0.11,0.69,0.26,31.9,15991
63,0.11,0.69,0.25,31.9,16430
63,0.16,0.59,1.48,31.37,3021
63,0.12,0.55,0.22,31.95,17743
63,0.17,0.6,0.25,31.26,15257
63,0.14,0.61,0.28,31.32,17676
63,0.11,0.69,0.16,31.9,11851
63,0.28,0.23,0.16,28.82,19569
63,0.17,0.6,0.16,31.26,13763
63,0.28,0.23,0.2,28.82,11373
63,0.28,0.23,0.19,28.82,13162
63,0.28,0.23,0.21,28.82,13078
63,0.11,0.69,0.14,31.9,6972
63,0.25,0.27,0.24,29.8,25283
63,0.25,0.6,0.19,31.46,31804
63,0.25,0.6,0.1,31.46,27022
63,0.18,0.53,0.36,30.74,5494
63,0.18,0.53,0.31,30.74,12540
63,0.28,0.23,0.38,28.82,5808
63,0.17,0.6,0.84,31.26,7871
63,0.25,0.27,0.42,29.8,11694
63,0.25,0.6,0.17,31.46,26908
63,0.25,0.6,0.3,31.46,20092
63,0.25,0.6,0.23,31.46,16663
63,0.17,0.6,0.26,31.26,22794
63,0.17,0.6,0.53,31.26,6281
63,0.17,0.6,0.2,31.26,10571
63,0.17,0.6,0.26,31.26,20787
63,0.17,0.6,0.17,31.26,24750
63,0.14,0.61,0.32,31.32,6397
63,0.11,0.69,0.28,31.9,4381
63,0.28,0.23,0.42,28.82,3421
63,0.28,0.23,0.58,28.82,1027
63,0.18,0.53,0.11,30.74,4242
63,0.18,0.53,0.41,30.74,5299
63,0.18,0.58,1.18,31.51,57
63,0.25,0.6,0.37,31.46,5
62,0.25,0.6,0.17,31.46,21903
62,0.25,0.6,0.16,31.46,19869
62,0.25,0.6,0.21,31.46,21601
62,0.25,0.6,0.24,31.46,15612
63,0.25,0.6,0.38,31.46,14260
55.33,0.24,0.41,1.34,27.04,3323
52,0.24,0.41,1,27.04,3698
52,0.24,0.41,0.12,27.04,6070
62,0.25,0.27,0.55,29.65,10594
57,0.25,0.27,0.23,29.8,4035
58.67,0.25,0.26,0.52,29.22,8378
60.75,0.25,0.27,0.55,29.8,4483
62,0.25,0.27,0.27,29.8,13619
57,0.25,0.26,0.68,29.22,5003
57,0.25,0.27,0.52,29.8,5111
62,0.25,0.48,0.82,30.9,6055
62,0.25,0.48,0.17,30.9,1247
62,0.25,0.48,0.41,30.9,23881
62,0.23,0.45,0.39,30.51,20780
62,0.23,0.45,0.54,30.61,7795
43.86,0.2,0.49,1.5,27.59,2895
43,0.2,0.49,0.84,27.59,3106
29,0.26,0.15,3.21,27.91,1369
26.82,0.25,0.16,2.49,27.79,1128
37,0.3,0.13,6.41,27.84,1007
39.55,0.29,0.24,5.72,27.36,1009
19.04,0.26,0.14,5.92,27.86,733
32.65,0.29,0.17,5.66,27.18,609
19.8,0.28,0.25,4.4,25.47,884
42.25,0.24,0.34,3.36,27.24,855
23.58,0.25,0.21,4.41,28.33,919
20,0.37,0.15,3.45,25.74,1127
15.96,0.29,0.15,9.33,27.42,344
29.72,0.27,0.24,13.91,27.63,527
38.87,0.3,0.12,3.51,27.94,2166
56,0.35,0.1,0.86,25.38,5183
56,0.41,0.11,0.14,24.03,2835
61,0.22,0.15,1.09,31.67,3912
61,0.22,0.15,1.38,31.67,2104
61,0.23,0.15,1.43,31.09,2745
63,0.16,0.61,0.14,31.32,29084
19,0.28,0.13,3.19,27.14,1007
27,0.29,0.18,0.43,27.4,416
27,0.34,0.18,1.6,26.08,1459
27,0.29,0.18,0.6,27.4,3732
27,0.29,0.18,0.76,27.4,3141
27,0.29,0.18,0.36,27.4,142
27,0.29,0.18,0.22,27.4,722
22,0.25,0.33,1.09,28.02,1741
25.89,0.33,0.33,2.36,25.93,778
22,0.25,0.33,0.69,28.02,392
20,0.32,0.14,0.66,26.77,3431
20,0.25,0.14,0.4,27.29,2296
20,0.25,0.14,0.96,27.29,2157
29,0.25,0.15,0.55,26.49,983
20,0.25,0.15,0.13,26.49,1152
30,0.33,0.13,0.58,26.48,5812
30,0.33,0.13,0.21,26.48,4054
30,0.33,0.13,0.35,26.48,9765
30,0.33,0.13,0.51,26.48,5308
30,0.33,0.13,0.52,26.48,6877
24,0.33,0.13,0.34,26.48,5792
26,0.33,0.13,0.45,26.48,6890
61,0.27,0.42,5.93,29.16,31
60.6,0.31,0.33,0.83,29.35,3438
60,0.31,0.33,0.85,29.35,2797
61,0.33,0.33,0.85,29.05,6301
60,0.34,0.33,1.64,28.74,4183
61,0.2,0.47,0.49,29.29,1130
58.83,0.2,0.47,2.02,29.29,2256
63,0.22,0.45,2.18,29.45,1
41,0.36,0.18,0.6,25.98,3620
37,0.36,0.18,1.05,25.98,1615
37,0.28,0.31,0.6,24.89,3869
37,0.28,0.31,0.29,24.89,7710
53.86,0.31,0.33,1.4,29.35,1852
50.83,0.31,0.33,1.18,29.35,4955
49,0.31,0.33,0.6,29.35,8588
45,0.28,0.31,1.12,24.89,2470
45,0.31,0.31,1.04,25.89,4987
45,0.39,0.31,0.85,25.29,5736
48,0.25,0.47,0.84,28.92,3670
63,0.39,0.12,0.43,28.84,9038
63,0.39,0.12,0.45,28.84,7889
63,0.39,0.12,0.56,28.84,6934
63,0.39,0.12,0.67,28.84,5015
63,0.39,0.12,0.52,28.84,6224
63,0.39,0.12,0.89,28.84,2866
63,0.29,0.11,0.68,29.41,3290
63,0.29,0.11,1.01,29.41,2378
63,0.29,0.11,0.58,29.41,2784
63,0.29,0.11,0.67,29.41,5672
63,0.39,0.12,0.4,28.84,486
62,0.29,0.11,1.94,29.41,1560
63,0.2,0.71,0.11,30.25,11475
63,0.21,0.42,0.84,29.17,1241
63,0.3,0.33,0.4,28.59,1301
63,0.23,0.38,0.81,28.87,4453
63,0.3,0.33,0.45,28.59,7167
63,0.18,0.5,1,29.78,5967
63,0.27,0.43,1.03,29,6819
58,0.23,0.38,1.25,28.87,5861
58,0.23,0.38,0.47,28.87,2379
58,0.23,0.29,1.06,27.89,2556
63,0.16,0.54,0.84,30.08,6271
63,0.16,0.54,0.95,30.08,3489
63,0.16,0.54,0.1,30.08,19677
63,0.16,0.54,1.19,30.08,3936
63,0.2,0.71,0.9,30.25,2865
63,0.16,0.54,0.35,30.08,3392
51,0.26,0.3,0.24,28.23,2616
51,0.26,0.3,0.73,28.23,4633
63,0.26,0.3,0.87,28.23,1308
63,0.2,0.71,0.34,30.25,6722
63,0.2,0.71,0.58,30.25,7657
63,0.2,0.71,0.25,30.25,6099
63,0.2,0.71,0.62,30.25,5588
63,0.2,0.71,0.76,30.25,4179
63,0.2,0.71,0.93,30.25,2843
63,0.24,0.41,0.66,29.75,3589
63,0.16,0.54,0.33,30.08,6378
63,0.23,0.38,0.3,28.87,8434
63,0.16,0.54,0.12,30.08,13116
63,0.19,0.49,0.43,29.68,5746
63,0.23,0.38,0.68,28.87,5723
63,0.23,0.38,1.47,28.87,2149
63,0.3,0.33,1.13,28.59,3266
63,0.3,0.33,1.75,28.59,25
40,0.26,0.3,1.1,28.23,3974
60,0.3,0.33,0.8,28.59,4759
60,0.3,0.33,0.86,28.59,5123
63,0.2,0.71,0.29,30.25,16261
63,0.2,0.71,0.1,30.25,35395
63,0.2,0.71,1.94,30.25,2281
63,0.2,0.71,1.43,30.25,8336
63,0.28,0.41,0.82,28.92,2958
63,0.26,0.35,3.76,28.93,1862
63,0.2,0.71,1.8,30.25,4024
40,0.26,0.3,1.01,28.23,1994
60.5,0.23,0.38,2.05,28.87,3192
60,0.24,0.44,0.72,28.63,5650
59,0.24,0.44,0.67,28.63,6740
59.67,0.24,0.44,0.45,28.63,2442
16,0.38,0.11,2.52,23.11,689
11.11,0.34,0.11,10.88,24.36,331
63,0.14,0.88,0.58,30.88,5474
62.5,0.2,0.8,0.5,27.91,7662
63,0.2,0.87,0.7,30.85,5471
63,0.2,0.87,0.39,30.85,18817
62,0.2,0.8,0.29,27.91,11532
63,0.2,0.8,0.63,27.91,5933
63,0.2,0.8,0.43,27.91,9563
63,0.2,0.87,1.32,30.85,2449
63,0.2,0.87,0.54,30.85,8081
63,0.13,0.82,0.51,30.18,24921
63,0.16,0.65,0.32,28.96,19157
63,0.13,0.82,0.41,30.18,15389
63,0.13,0.82,0.86,30.18,1729
63,0.16,0.65,0.3,28.96,34849
63,0.13,0.82,0.35,30.18,31257
63,0.24,0.72,0.42,26.93,3058
63,0.24,0.72,1.06,26.93,5866
63,0.24,0.72,0.98,26.93,8116
62.33,0.28,0.1,1.34,28.71,5027
63,0.2,0.8,0.63,27.91,9945
62,0.3,0.18,0.42,24.88,10165
63,0.2,0.8,0.5,27.91,5110
62,0.24,0.53,1.35,26.61,5162
62,0.3,0.18,0.32,24.88,8399
63,0.2,0.8,0.91,27.91,908
63,0.2,0.77,1.57,28.06,2539
62,0.24,0.53,1.97,26.61,2022
62,0.33,0.11,1.39,26.6,25
62,0.33,0.11,0.78,26.6,3117
62.5,0.16,0.65,0.41,28.96,18287
63,0.16,0.65,0.42,28.96,25890
63,0.16,0.65,0.38,28.96,18608
63,0.24,0.72,0.26,26.93,4032
63,0.29,0.58,0.19,26.57,26054
63,0.28,0.1,0.62,28.71,8332
63,0.28,0.1,0.47,28.71,9562
63,0.28,0.1,0.66,28.71,7840
63,0.2,0.8,0.59,27.91,6372
63,0.14,0.88,0.4,30.88,5792
63,0.14,0.88,0.57,30.88,3834
63,0.14,0.88,0.52,30.88,6019
63,0.18,0.87,0.58,30.86,6083
63,0.14,0.88,0.42,30.88,259
63,0.2,0.87,0.6,30.85,4568
63,0.2,0.87,0.63,30.85,4050
63,0.2,0.87,1.4,30.85,1928
63,0.2,0.87,0.31,30.85,6912
63,0.2,0.87,0.31,30.85,6925
63,0.2,0.87,0.44,30.85,8503
63,0.2,0.87,0.61,30.85,5566
63,0.2,0.87,0.36,30.85,5845
63,0.2,0.87,0.19,30.85,6733
63,0.2,0.87,0.29,30.85,8509
63,0.2,0.87,0.34,30.85,7002
62,0.2,0.8,0.44,27.91,7195
63,0.2,0.87,0.32,30.85,7198
62.2,0.18,0.74,0.76,28.33,4703
63,0.2,0.8,0.52,27.91,13053
63,0.2,0.87,0.23,30.85,10168
63,0.2,0.87,0.16,30.85,20739
63,0.2,0.87,0.4,30.85,5944
63,0.2,0.87,0.3,30.85,7659
63,0.13,0.82,0.46,30.18,4271
63,0.2,0.87,0.95,30.85,2031
63,0.13,0.82,1.2,30.18,208
63,0.16,0.65,0.28,28.96,17619
63,0.16,0.65,0.26,28.96,25132
63,0.13,0.82,0.39,30.18,15097
63,0.16,0.65,0.26,28.96,23659
63,0.13,0.82,0.64,30.18,1379
63,0.13,0.82,0.66,30.18,2975
63,0.13,0.82,0.62,30.18,9814
63,0.16,0.65,0.23,28.96,29997
63,0.22,0.62,0.23,27.76,32793
63,0.16,0.65,0.23,28.96,12922
63,0.22,0.62,0.27,27.76,18406
62,0.16,0.65,0.16,28.96,26858
62,0.16,0.65,0.24,28.96,2385
62,0.16,0.65,0.21,28.96,24186
62,0.16,0.65,0.25,28.96,24698
63,0.16,0.65,0.13,28.96,23627
63,0.16,0.65,0.19,28.96,19049
63,0.33,0.11,0.22,26.6,22440
63,0.16,0.65,0.18,28.96,30824
63,0.29,0.58,0.2,26.57,30671
63,0.16,0.65,0.15,28.96,29506
62.33,0.16,0.65,0.35,28.96,19110
63,0.16,0.65,0.32,28.96,32523
63,0.16,0.65,0.19,28.96,25433
62,0.2,0.8,0.32,27.91,12138
62,0.2,0.8,0.31,27.91,13263
63,0.13,0.82,0.2,30.18,23033
62,0.25,0.33,0.76,28.44,5444
62,0.2,0.8,0.58,27.91,11900
62,0.16,0.65,0.17,28.96,29373
62,0.16,0.65,0.18,28.96,26873
62,0.16,0.65,0.29,28.96,8378
62,0.16,0.65,0.11,28.96,26699
62,0.33,0.11,0.25,26.6,14929
63,0.16,0.65,0.14,28.96,22934
62,0.2,0.8,0.2,27.91,28406
62,0.2,0.8,0.36,27.91,8915
63,0.16,0.65,0.22,28.96,27535
63,0.16,0.65,0.18,28.96,28279
63,0.16,0.65,0.16,28.96,20656
63,0.13,0.82,0.34,30.18,16209
63,0.13,0.82,0.19,30.18,36420
63,0.33,0.11,0.24,26.6,21528
63,0.29,0.58,0.37,26.57,4807
63,0.33,0.11,0.18,26.6,20768
63,0.33,0.11,0.16,26.6,21783
63,0.36,0.11,0.41,25.72,10378
63,0.16,0.65,0.41,28.96,13815
63,0.29,0.58,0.62,26.57,6255
63,0.29,0.58,0.21,26.57,22115
63,0.16,0.65,0.19,28.96,25063
62,0.2,0.8,0.27,27.91,8640
63,0.29,0.58,0.25,26.57,25084
63,0.33,0.11,0.32,26.6,3499
63,0.15,0.8,5.16,29.69,673
62,0.28,0.1,0.23,28.71, -   
62,0.28,0.1,0.12,28.71,15285
62,0.28,0.1,0.26,28.71,7385
63,0.16,0.65,0.08,28.96,31992
63,0.29,0.58,0.4,26.57,983
62,0.28,0.1,0.25,28.71,462
62,0.33,0.11,0.34,26.6,13091
62,0.33,0.11,0.26,26.6,19256
62,0.28,0.1,0.44,28.71,785
44,0.4,0.13,1.32,21.03,2930
62.2,0.33,0.11,1.17,26.6,3717
63,0.1,0.73,0.26,33.14,20868
60,0.1,0.73,0.23,33.14,15970
63,0.1,0.73,0.27,33.14,17406
63,0.1,0.73,0.23,33.14,17332
63,0.1,0.73,0.31,33.14,22179
63,0.1,0.73,0.39,33.14,17125
60,0.1,0.73,0.29,33.14,27652
63,0.1,0.73,0.13,33.14,26085
63,0.1,0.73,0.38,33.14,23029
63,0.11,0.74,0.34,32.01,15079
63,0.11,0.74,0.42,32.01,11451
63,0.11,0.74,0.33,32.01,12322
63,0.11,0.74,0.24,32.01,22643
63,0.08,0.61,0.24,33.78,20817
63,0.08,0.61,0.23,33.78,24417
63,0.08,0.61,0.23,33.78,22333
63,0.08,0.61,0.23,33.78,24588
63,0.08,0.61,0.31,33.78,21242
63,0.08,0.61,0.29,33.78,25114
63,0.08,0.61,0.31,33.78,18098
63,0.08,0.61,0.26,33.78,22935
63,0.08,0.61,0.28,33.78,18603
63,0.08,0.61,0.33,33.78,18309
63,0.08,0.61,0.25,33.78,16561
63,0.17,0.59,0.36,33.53,22684
63,0.17,0.59,0.48,33.53,19197
63,0.17,0.59,0.51,33.53,20131
63,0.08,0.61,0.32,32.41,19302
